"";"chorotype_spp";"richness_spp";"no_overlap";"Ct_max";"Ct_min";"diameter";"max_centrality";"max_betweenness"
"24";"Maschalethraupis surinama, Psarocolius viridis";2;NA;0,85;0,85;1;1;0
"25";"Amazona farinosa, Atticora fasciata, Attila cinnamomeus, Bucco capensis, Campephilus rubricollis, Cathartes melambrotus, Celeus elegans, Cercomacra cinerascens, Campylopterus largipennis, Corythopis torquatus, Cotinga cayana, Crypturellus cinereus, Crypturellus variegatus, Cyanerpes caeruleus, Cyanoloxia rothschildii, Dacnis lineata, Daptrius ater, Dendrocincla merula, Dendrocolaptes certhia, Formicarius colma, Galbula dea, Heliothryx auritus, Hydropsalis climacocerca, Hylophylax naevius, Ibycter americanus, Jacamerops aureus, Laniocera hypopyrra, Lipaugus vociferans, Maschalethraupis surinama, Megascops watsonii, Melanerpes cruentatus, Micrastur mirandollei, Myiobius barbatus, Myrmophylax atrothorax, Myrmotherula axillaris, Myrmotherula brachyura, Myrmotherula longipennis, Myrmotherula menetriesii, Ochthornis littoralis, Odontophorus gujanensis, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Pachyramphus marginatus, Pachyramphus minor, Patagioenas subvinacea, Philydor pyrrhodes, Piaya melanogaster, Myiopagis cinerea, Myiornis ecaudatus, Platyrinchus platyrhynchos, Psarocolius viridis, Ramphotrigon ruficauda, Rhytipterna simplex, Saltator grossus, Sclateria naevia, Sclerurus caudacutus, Sclerurus rufigularis, Sublegatus obscurior, Synallaxis rutilans, Tangara mexicana, Tangara velia, Terenotriccus erythrurus, Tolmomyias assimilis, Tolmomyias poliocephalus, Trogon melanurus, Trogon viridis, Tyrannulus elatus, Xiphorhynchus obsoletus";69;NA;0,83;0,83;7;38;457,9
"26";"Guiana2, Capito niger, Cyanocorax cayanus, Deconychura longicauda, Epinecrophylla gutturalis, Frederickena viridis, Hypocnemis cantator, Penelope marail, Lepidocolaptes albolineatus, Pyrilia caica, Schiffornis olivacea, Selenidera piperivora, Tyranneutes virescens, Tunchiornis luteifrons";14;NA;0,83;0,83;4;7;27,7
"27";"Celeus occidentalis, Cephalopterus ornatus, Ramphastos cuvieri";3;NA;0,83;0,81;2;2;1
"28";"Automolus subulatus, Heliodoxa aurescens";2;NA;0,83;0,81;1;1;0
"29";"Chaetura brachyura, Glaucis hirsutus";2;NA;0,83;0,83;1;1;0
"30";"Cyphos macrodactylus, Pteroglossus azara";2;NA;0,83;0,83;1;1;0
"31";"Hemithraupis flavicollis, Willisornis poecilinotus";2;NA;0,83;0,83;1;1;0
"32";"Amazona farinosa, Amazona ochrocephala, Ara macao, Atticora fasciata, Attila cinnamomeus, Automolus infuscatus, Automolus ochrolaemus, Bucco capensis, Campephilus rubricollis, Cathartes melambrotus, Celeus elegans, Cercomacra cinerascens, Chaetura brachyura, Ciccaba huhula, Campylopterus largipennis, Conopias parvus, Corythopis torquatus, Cotinga cayana, Crypturellus cinereus, Crypturellus variegatus, Cyanerpes caeruleus, Cyanoloxia rothschildii, Cymbilaimus lineatus, Dacnis lineata, Daptrius ater, Dendrocincla merula, Dendrocolaptes certhia, Euphonia chrysopasta, Formicarius colma, Galbula dea, Glaucis hirsutus, Glyphorynchus spirurus, Heliothryx auritus, Hemithraupis flavicollis, Hydropsalis climacocerca, Hylophylax naevius, Ibycter americanus, Jacamerops aureus, Laniocera hypopyrra, Lipaugus vociferans, Maschalethraupis surinama, Megascops watsonii, Melanerpes cruentatus, Micrastur gilvicollis, Micrastur mirandollei, Momotus momota, Myiobius barbatus, Myrmophylax atrothorax, Myrmothera campanisona, Myrmotherula axillaris, Myrmotherula brachyura, Myrmotherula longipennis, Myrmotherula menetriesii, Neochen jubata, Nyctibius bracteatus, Ochthornis littoralis, Odontophorus gujanensis, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Pachyramphus marginatus, Pachyramphus minor, Patagioenas subvinacea, Philydor pyrrhodes, Piaya melanogaster, Piculus flavigula, Piprites chloris, Myiopagis cinerea, Myiornis ecaudatus, Platyrinchus platyrhynchos, Psarocolius viridis, Ramphotrigon ruficauda, Rhytipterna simplex, Saltator grossus, Sclateria naevia, Sclerurus caudacutus, Sclerurus rufigularis, Sporophila bouvronides, Sublegatus obscurior, Synallaxis rutilans, Tangara mexicana, Tangara velia, Terenotriccus erythrurus, Thamnophilus murinus, Threnetes leucurus, Tityra cayana, Tolmomyias assimilis, Tolmomyias poliocephalus, Trogon melanurus, Trogon viridis, Tyrannopsis sulphurea, Tyrannulus elatus, Willisornis poecilinotus, Xiphorhynchus obsoletus, Zebrilus undulatus";95;NA;0,81;0,81;9;48;627,2
"33";"Guiana, Guiana2, Capito niger, Cyanocorax cayanus, Deconychura longicauda, Epinecrophylla gutturalis, Frederickena viridis, Galbula galbula, Gymnopithys rufigula, Hypocnemis cantator, Isleria guttata, Microcerculus bambla, Monasa atra, Penelope marail, Perissocephalus tricolor, Lepidocolaptes albolineatus, Pteroglossus viridis, Pyrilia caica, Pyrrhura picta, Ramphastos vitellinus, Schiffornis olivacea, Selenidera piperivora, Todirostrum pictum, Tyranneutes virescens, Xiphorhynchus pardalotus, Tunchiornis luteifrons";26;NA;0,81;0,81;6;11;156
"34";"Celeus grammicus, Dacnis flaviventer, Euphonia rufiventris, Pachysylvia hypoxantha, Todirostrum chrysocrotaphum";5;NA;0,81;0,81;3;3;5
"35";"Myrmoborus myotherinus, Schiffornis turdina, Thamnophilus aethiops, Tyranneutes stolzmanni, Veniliornis affinis";5;NA;0,81;0,81;2;4;5
"36";"Capito auratus, Cyphos macrodactylus, Lepidothrix coronata, Pteroglossus azara";4;NA;0,81;0,81;2;3;2
"37";"Belem, NT0170, Psophia obscura";3;NA;0,81;0,77;2;2;1
"38";"Lepidocolaptes fuscicapillus, Pionites leucogaster, Selenidera gouldii";3;NA;0,81;0,75;2;2;1
"39";"Eubucco aurantiicollis, Selenidera langsdorffii";2;NA;0,81;0,79;1;1;0
"40";"Inambari, Psophia leucoptera";2;NA;0,81;0,81;1;1;0
"41";"Leucopternis melanops, Psophia crepitans";2;NA;0,81;0,81;1;1;0
"42";"Microbates collaris, Phaethornis bourcieri";2;NA;0,81;0,81;1;1;0
"43";"Pionites melanocephalus, Pithys albifrons";2;NA;0,81;0,81;1;1;0
"44";"Pteroglossus humboldti, Rhegmatorhina melanosticta";2;NA;0,81;0,79;1;1;0
"45";"Amazona farinosa, Amazona ochrocephala, Ara macao, Atticora fasciata, Attila cinnamomeus, Automolus infuscatus, Automolus ochrolaemus, Automolus subulatus, Bucco capensis, Campephilus rubricollis, Cathartes melambrotus, Celeus elegans, Celeus occidentalis, Cephalopterus ornatus, Cercomacra cinerascens, Chaetura brachyura, Ciccaba huhula, Campylopterus largipennis, Conopias parvus, Corythopis torquatus, Cotinga cayana, Crypturellus cinereus, Crypturellus variegatus, Cyanerpes caeruleus, Cyanoloxia rothschildii, Cymbilaimus lineatus, Dacnis lineata, Daptrius ater, Dendrocincla merula, Dendrocolaptes certhia, Euphonia chrysopasta, Formicarius colma, Galbula dea, Glaucis hirsutus, Glyphorynchus spirurus, Heliodoxa aurescens, Heliothryx auritus, Hemithraupis flavicollis, Hydropsalis climacocerca, Hylophylax naevius, Ibycter americanus, Iodopleura isabellae, Islerothraupis cristata, Jacamerops aureus, Laniocera hypopyrra, Lipaugus vociferans, Maschalethraupis surinama, Megascops watsonii, Melanerpes cruentatus, Micrastur gilvicollis, Micrastur mirandollei, Momotus momota, Monasa morphoeus, Myiobius barbatus, Myrmoborus myotherinus, Myrmophylax atrothorax, Myrmothera campanisona, Myrmotherula axillaris, Myrmotherula brachyura, Myrmotherula longipennis, Myrmotherula menetriesii, Neochen jubata, Nyctibius bracteatus, Ochthornis littoralis, Odontophorus gujanensis, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Pachyramphus marginatus, Pachyramphus minor, Patagioenas subvinacea, Pharomachrus pavoninus, Philydor pyrrhodes, Piaya melanogaster, Piculus flavigula, Piprites chloris, Islerothraupis luctuosa, Myiopagis cinerea, Myiornis ecaudatus, Platyrinchus coronatus, Platyrinchus platyrhynchos, Psarocolius viridis, Ramphastos cuvieri, Ramphotrigon ruficauda, Rhytipterna simplex, Saltator grossus, Schiffornis turdina, Sclateria naevia, Sclerurus caudacutus, Sclerurus rufigularis, Sporophila bouvronides, Sublegatus obscurior, Synallaxis rutilans, Tangara chilensis, Tangara mexicana, Tangara velia, Terenotriccus erythrurus, Thamnophilus aethiops, Thamnophilus amazonicus, Thamnophilus murinus, Threnetes leucurus, Tityra cayana, Tolmomyias assimilis, Tolmomyias poliocephalus, Trogon melanurus, Trogon viridis, Tyranneutes stolzmanni, Tyrannopsis sulphurea, Tyrannulus elatus, Veniliornis affinis, Willisornis poecilinotus, Xiphorhynchus obsoletus, Zebrilus undulatus";113;NA;0,79;0,79;8;59;1182,4
