"";"chorotype_spp";"richness_spp";"no_overlap";"Ct_max";"Ct_min";"diameter";"max_centrality";"max_betweenness"
"159";"Lophostrix cristata, Microrhopias quixensis";2;NA;0,63;0,63;1;1;0
"160";"Napo2, Accipiter poliogaster, Akletos melanoceps, Amazona farinosa, Amazona ochrocephala, Ammodramus aurifrons, Anabacerthia ruficaudata, Ancistrops strigilatus, Ara ararauna, Ara chloropterus, Ara macao, Ara severus, Atticora fasciata, Attila cinnamomeus, Automolus infuscatus, Automolus ochrolaemus, Guiana, Guiana2, Inambari, Aratinga weddellii, Automolus paraensis, Automolus subulatus, Brotogeris cyanoptera, Bucco capensis, Buteo platypterus, Buteogallus schistaceus, Cacicus haemorrhous, Campephilus rubricollis, Capito auratus, Capito aurovirens, Cathartes melambrotus, Catharus minimus, Celeus elegans, Celeus flavus, Celeus grammicus, Celeus occidentalis, Cephalopterus ornatus, Ceratopipra erythrocephala, Cercomacra cinerascens, Certhiasomus stictolaemus, Chaetura brachyura, Chamaeza nobilis, Ciccaba huhula, Cnipodectes subbrunneus, Automolus rufipileatus, Campylopterus largipennis, Caryothraustes canadensis, Chaetura chapmani, Chlorostilbon notatus, Brotogeris chrysoptera, Capito niger, Celeus torquatus, Celeus undatus, Chiroxiphia pareola, Baryphthengus martii, Brotogeris sanctithomae, Campylorhynchus turdinus, Ceratopipra rubrocapilla, Cercomacroides fuscicauda, Cercomacroides serva, Cercomacroides nigrescens, Campylorhamphus probatus, Conopias parvus, Corythopis torquatus, Cotinga cayana, Cotinga maynana, Crax alector, Crypturellus cinereus, Crypturellus variegatus, Cyanerpes caeruleus, Cyanerpes nitidus, Cyanocorax violaceus, Cyanoloxia rothschildii, Cymbilaimus lineatus, Cyphorhinus arada, Cyphos macrodactylus, Dacnis albiventris, Dacnis flaviventer, Dacnis lineata, Daptrius ater, Dendrocincla merula, Dendrocolaptes certhia, Deroptyus accipitrinus, Dichrozona cincta, Discosura langsdorffi, Elaenia spectabilis, Epinecrophylla erythrura, Epinecrophylla haematonota, Dendrocolaptes picumnus, Corapipo gutturalis, Cyanocorax cayanus, Discosura longicaudus, Cotinga cotinga, Deconychura longicauda, Dendrexetastes rufigula, Epinecrophylla gutturalis, Conopophaga peruviana, Crypturellus bartletti, Deconychura pallida, Eubucco aurantiicollis, Drymophila devillei, Crypturellus strigulosus, Epinecrophylla hoffmannsi, Epinecrophylla leucophthalma, Eubucco richardsoni, Euphonia chrysopasta, Euphonia minuta, Euphonia rufiventris, Euphonia xanthogaster, Formicarius analis, Formicarius colma, Galbula chalcocephala, Galbula dea, Glaucis hirsutus, Glyphorynchus spirurus, Gymnopithys leucaspis, Habia rubica, Hafferia fortis, Heliodoxa aurescens, Heliothryx auritus, Hemithraupis flavicollis, Hemitriccus zosterops, Hydropsalis climacocerca, Euchrepomis spodioptila, Euphonia cayennensis, Frederickena viridis, Galbula albirostris, Galbula galbula, Granatellus pelzelni, Gymnopithys rufigula, Galbula leucogastra, Glaucidium hardyi, Gymnoderus foetidus, Haematoderus militaris, Hemitriccus josephinae, Euchrepomis humeralis, Frederickena unduliger, Galbula cyanescens, Hemitriccus iohannis, Hemitriccus minor, Fluvicola albiventer, Galbalcyrhynchus purusianus, Galbula cyanicollis, Hemitriccus griseipectus, Heterocercus linteatus, Hemitriccus minimus, Hemitriccus striaticollis, Hylophylax naevius, Hypocnemis hypoxantha, Hypocnemoides melanopogon, Ibycter americanus, Icterus chrysocephalus, Iodopleura isabellae, Isleria hauxwelli, Islerothraupis cristata, Jacamerops aureus, Laniocera hypopyrra, Lepidothrix coronata, Leucopternis melanops, Lipaugus vociferans, Lophornis verreauxii, Lophotriccus galeatus, Lophotriccus vitiosus, Manacus manacus, Maschalethraupis surinama, Megascops watsonii, Megastictus margaritatus, Melanerpes cruentatus, Micrastur gilvicollis, Micrastur mirandollei, Microbates collaris, Microcerculus marginatus, Micromonacha lanceolata, Microxenops milleri, Momotus momota, Monasa morphoeus, Monasa nigrifrons, Myiobius barbatus, Myiodynastes maculatus, Myiothlypis fulvicauda, Myiozetetes granadensis, Myiozetetes luteiventris, Myrmelastes leucostigma, Myrmoborus myotherinus, Myrmophylax atrothorax, Myrmothera campanisona, Myrmotherula axillaris, Myrmotherula brachyura, Myrmotherula ignota, Myrmotherula longipennis, Myrmotherula menetriesii, Myrmotherula multostriata, Nasica longirostris, Neochen jubata, Neoctantes niger, Notharchus tectus, Nothocrax urumutum, Nyctibius aethereus, Nyctibius bracteatus, Nyctipolus nigrescens, Nyctiprogne leucopyga, Nystactes tamatia, Ochthornis littoralis, Odontophorus gujanensis, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Ortalis guttata, Orthopsittaca manilatus, Pachyramphus marginatus, Pachyramphus minor, Pachysylvia hypoxantha, Paroaria gularis, Patagioenas plumbea, Patagioenas subvinacea, Penelope jacquacu, Phaethornis bourcieri, Phaethornis hispidus, Phaethornis malaris, Pharomachrus pavoninus, Pheugopedius coraya, Philydor erythrocercum, Philydor erythropterum, Philydor pyrrhodes, Phlegopsis erythroptera, Phlegopsis nigromaculata, Phoenicircus nigricollis, Piaya melanogaster, Piculus flavigula, Pionites melanocephalus, Pipile cumanensis, Pipra filicauda, Piprites chloris, Pithys albifrons, Hylocharis cyanus, Hypocnemis cantator, Isleria guttata, Islerothraupis luctuosa, Lanio fulvus, Microcerculus bambla, Monasa atra, Myiopagis cinerea, Myiornis ecaudatus, Myiothlypis mesoleucus, Myrmoborus leucophrys, Myrmornis torquata, Myrmotherula surinamensis, Ortalis motmot, Penelope marail, Perissocephalus tricolor, Phaethornis superciliosus, Picumnus exilis, Pionus fuscus, Platyrinchus coronatus, Platyrinchus platyrhynchos, Hylexetastes perrotii, Hylopezus macularius, Hylophilus griseiventris, Icterus cayanensis, Lamprospiza melanoleuca, Lepidocolaptes albolineatus, Lepidothrix serena, Lophostrix cristata, Microrhopias quixensis, Nemosia pileata, Neopipo cinnamomea, Notharchus macrorhynchos, Pachyramphus surinamus, Phoenicircus carnifex, Hypocnemis peruviana, Hypocnemoides maculicauda, Lanio versicolor, Laterallus exilis, Lepidocolaptes fatimalimae, Leucopternis kuhli, Liosceles thoracicus, Malacoptila rufa, Metopothrix aurantiaca, Mitu tuberosum, Myrmelastes hyperythrus, Neopelma sulphureiventer, Nonnula ruficapilla, Odontophorus stellatus, Oneillornis salvini, Phaethornis philippii, Picumnus rufiventris, Pionites xanthomerius, Malacoptila semicincta, Myrmotherula sclateri, Nonnula sclateri, Pheugopedius genibarbis, Picumnus aurifrons, Lepidocolaptes fuscicapillus, Micrastur mintoni, Pionites leucogaster, Pipile cujubi, Poecilotriccus latirostris, Psarocolius angustifrons, Psarocolius viridis, Psarocolius yuracares, Psophia crepitans, Pteroglossus azara, Pteroglossus castanotis, Pteroglossus pluricinctus, Pygiptila stellaris, Pyrilia barrabandi, Pyrrhura melanura, Querula purpurata, Ramphastos culminatus, Ramphastos cuvieri, Ramphotrigon ruficauda, Rhytipterna simplex, Rupicola rupicola, Saltator grossus, Schiffornis major, Schiffornis turdina, Sclateria naevia, Sclerurus caudacutus, Sclerurus mexicanus, Sclerurus rufigularis, Setophaga striata, Sporophila bouvronides, Sporophila castaneiventris, Sporophila murallae, Sublegatus obscurior, Rhynchocyclus aequinoctialis, Platyrinchus saturatus, Polioptila guianensis, Pseudopipra pipra, Pteroglossus viridis, Pyrilia caica, Pyrrhura picta, Ramphastos tucanus, Ramphastos vitellinus, Rhynchocyclus olivaceus, Schiffornis olivacea, Selenidera piperivora, Sirystes subcanescens, Synallaxis gujanensis, Porphyrolaema porphyrolaema, Porzana fasciata, Psophia leucoptera, Pteroglossus beauharnaesii, Pteroglossus humboldti, Ramphocelus nigrogularis, Rhegmatorhina melanosticta, Saltator coerulescens, Sciaphylax hemimelaena, Selenidera langsdorffii, Pteroglossus inscriptus, Selenidera gouldii, Synallaxis rutilans, Tangara callophrys, Tangara chilensis, Tangara mexicana, Tangara nigrocincta, Tangara schrankii, Tangara velia, Tangara xanthogastra, Terenotriccus erythrurus, Thamnomanes ardesiacus, Thamnomanes caesius, Thamnophilus aethiops, Thamnophilus amazonicus, Thamnophilus murinus, Thamnophilus schistaceus, Threnetes leucurus, Tinamus guttatus, Tityra cayana, Todirostrum chrysocrotaphum, Tolmomyias assimilis, Tolmomyias poliocephalus, Tolmomyias viridiceps, Topaza pyra, Touit purpuratus, Trogon collaris, Trogon melanurus, Trogon viridis, Tunchiornis ochraceiceps, Turdus hauxwelli, Turdus lawrencii, Tyranneutes stolzmanni, Tyrannopsis sulphurea, Tyrannulus elatus, Veniliornis affinis, Vireo altiloquus, Willisornis poecilinotus, Xiphorhynchus beauperthuysii, Xiphorhynchus elegans, Xiphorhynchus guttatoides, Xiphorhynchus obsoletus, Zebrilus undulatus, Zimmerius gracilipes, Tangara punctata, Thamnophilus punctatus, Thripophaga gutturata, Todirostrum pictum, Topaza pella, Trogon rufus, Tyranneutes virescens, Tyrannus albogularis, Veniliornis cassini, Vireolanius leucotis, Xiphorhynchus guttatus, Xiphorhynchus pardalotus, Todirostrum maculatum, Tunchiornis luteifrons, Zimmerius acer, Thamnomanes schistogynus, Trogon curucui, Turdus debilis, Xiphorhynchus ocellatus, Tinamus tao";413;0,61;0,61;0,61;17;145;14430,6
"161";"Arundinicola leucocephala, Calliphlox amethystina, Chrysolampis mosquitus, Coccyzus euleri, Elaenia cristata, Crypturellus parvirostris, Diopsittaca cumanensis, Euphonia chlorotica, Galbula ruficauda, Eupsittula aurea, Myiozetetes cayanensis, Myiarchus tyrannulus, Tolmomyias flaviventris, Turdus leucomelas, Thlypopsis sordida, Tityra braziliensis, Xenops rutilus";17;NA;0,61;0,61;7;6;71
"162";"Amazilia cupreicauda, Ceratopipra cornuta, Elaenia olivina, Herpsilochmus roraimae, Lepidothrix suavissima, Lophornis pavoninus, Mionectes roraimae, Myiophobus roraimae, Myrmelastes caurensis, Phylloscartes nigrifrons, Pogonotriccus chapmani, Systellura roraimae, Tangara whitelyi, Vireo sclateri";14;NA;0,61;0,59;8;6;42,3
"163";"Colinus cristatus, Eupsittula pertinax, Fluvicola pica, Hydropsalis cayennensis, Icterus nigrogularis, Sporophila minuta, Saltator plumbeus, Tangara cayana, Tyrannus dominicensis";9;NA;0,61;0,55;3;8;13,5
"164";"NT0125, Amazona dufresniana, Cyanicterus cyanicterus, Herpsilochmus stictocephalus, Herpsilochmus sticturus, Iodopleura fusca, Procnias albus, Touit batavicus";8;NA;0,61;0,61;4;5;17
"165";"Capito dayi, Dendrocolaptes hoffmannsi, Lepidothrix nattereri, Odontorchilus cinereus, Pteroglossus sturmii, Pyrrhura perlata, Rhegmatorhina hoffmannsi";7;NA;0,61;0,59;4;5;9,5
"166";"NT0142, Cacicus sclateri, Herpsilochmus dugandi, Hylopezus fulviventris, Poecilotriccus calopterus, Sciaphylax castanea";6;NA;0,61;0,61;3;4;8
"167";"Cypsnagra hirundinacea, Xolmis velatus";2;NA;0,61;0,61;1;1;0
"168";"Elaenia gigas, Eutoxeres condamini";2;NA;0,61;0,57;1;1;0
"169";"Galbula chalcothorax, Synallaxis albigularis";2;NA;0,61;0,61;1;1;0
"170";"Phaethornis atrimentalis, Picumnus lafresnayi";2;NA;0,61;0,59;1;1;0
"171";"Xingu, NT0180";2;NA;0,61;0,45;1;1;0
"172";"NT0125, Napo2, Accipiter poliogaster, Akletos melanoceps, Amazona amazonica, Amazona farinosa, Amazona ochrocephala, Ammodramus aurifrons, Anabacerthia ruficaudata, Ancistrops strigilatus, Ara ararauna, Ara chloropterus, Ara macao, Ara severus, Atticora fasciata, Atticora tibialis, Attila cinnamomeus, Automolus infuscatus, Automolus ochrolaemus, Guiana, Amazona dufresniana, Guiana2, Inambari, Aratinga weddellii, Attila bolivianus, Automolus paraensis, NT0166, Automolus subulatus, Brotogeris cyanoptera, Bucco capensis, Buteo platypterus, Buteogallus schistaceus, Cacicus haemorrhous, Campephilus rubricollis, Campylorhamphus procurvoides, Capito auratus, Capito aurovirens, Cathartes melambrotus, Catharus minimus, Celeus elegans, Celeus flavus, Celeus grammicus, Celeus occidentalis, Cephalopterus ornatus, Ceratopipra erythrocephala, Cercomacra cinerascens, Certhiasomus stictolaemus, Chaetura brachyura, Chaetura cinereiventris, Chamaeza nobilis, Ciccaba huhula, Cnipodectes subbrunneus, Automolus rufipileatus, Berlepschia rikeri, Campylopterus largipennis, Caryothraustes canadensis, Chaetura chapmani, Chlorostilbon notatus, Avocettula recurvirostris, Brotogeris chrysoptera, Capito niger, Celeus torquatus, Celeus undatus, Chiroxiphia pareola, Baryphthengus martii, Brotogeris sanctithomae, Campylorhynchus turdinus, Ceratopipra rubrocapilla, Cercomacroides fuscicauda, Cercomacroides serva, Cercomacroides nigrescens, Campylorhamphus probatus, Conopias parvus, Conopophaga aurita, Corythopis torquatus, Cotinga cayana, Cotinga maynana, Crax alector, Crypturellus cinereus, Crypturellus variegatus, Cyanerpes caeruleus, Cyanerpes nitidus, Cyanocorax violaceus, Cyanoloxia rothschildii, Cymbilaimus lineatus, Cyphorhinus arada, Cyphos macrodactylus, Dacnis albiventris, Dacnis flaviventer, Dacnis lineata, Daptrius ater, Dendrocincla merula, Dendrocolaptes certhia, Deroptyus accipitrinus, Dichrozona cincta, Discosura langsdorffi, Elaenia spectabilis, Epinecrophylla erythrura, Epinecrophylla haematonota, Dendrocolaptes picumnus, Corapipo gutturalis, Cyanicterus cyanicterus, Cyanocorax cayanus, Discosura longicaudus, Cotinga cotinga, Deconychura longicauda, Dendrexetastes rufigula, Epinecrophylla gutturalis, Conopophaga peruviana, Crypturellus bartletti, Deconychura pallida, Eubucco aurantiicollis, Drymophila devillei, Crypturellus strigulosus, Epinecrophylla hoffmannsi, Epinecrophylla leucophthalma, Eubucco richardsoni, Euphonia chrysopasta, Euphonia minuta, Euphonia rufiventris, Euphonia xanthogaster, Formicarius analis, Formicarius colma, Galbula chalcocephala, Galbula dea, Glaucis hirsutus, Glyphorynchus spirurus, Gymnopithys leucaspis, Habia rubica, Hafferia fortis, Heliodoxa aurescens, Heliothryx auritus, Hemithraupis flavicollis, Hemitriccus zosterops, Hydropsalis climacocerca, Euchrepomis spodioptila, Euphonia cayennensis, Frederickena viridis, Galbula albirostris, Galbula galbula, Granatellus pelzelni, Gymnopithys rufigula, Herpsilochmus stictocephalus, Herpsilochmus sticturus, Galbula leucogastra, Glaucidium hardyi, Gymnoderus foetidus, Haematoderus militaris, Hemitriccus josephinae, Euchrepomis humeralis, Frederickena unduliger, Galbula chalcothorax, Galbula cyanescens, Hemitriccus iohannis, Hemitriccus minor, Fluvicola albiventer, Galbalcyrhynchus purusianus, Galbula cyanicollis, Hemitriccus griseipectus, Heterocercus linteatus, Hemitriccus flammulatus, Hemitriccus minimus, Hemitriccus striaticollis, Hylophylax naevius, Hypocnemis hypoxantha, Hypocnemoides melanopogon, Ibycter americanus, Icterus chrysocephalus, Iodopleura isabellae, Isleria hauxwelli, Islerothraupis cristata, Jacamerops aureus, Laniocera hypopyrra, Lepidothrix coronata, Leucopternis melanops, Lipaugus vociferans, Lophornis verreauxii, Lophotriccus galeatus, Lophotriccus vitiosus, Machaeropterus striolatus, Malacoptila fusca, Manacus manacus, Maschalethraupis surinama, Megascops watsonii, Megastictus margaritatus, Melanerpes cruentatus, Micrastur gilvicollis, Micrastur mirandollei, Microbates collaris, Microcerculus marginatus, Micromonacha lanceolata, Microxenops milleri, Momotus momota, Monasa morphoeus, Monasa nigrifrons, Myiobius barbatus, Myiodynastes maculatus, Myiothlypis fulvicauda, Myiozetetes granadensis, Myiozetetes luteiventris, Myrmelastes leucostigma, Myrmoborus myotherinus, Myrmophylax atrothorax, Myrmothera campanisona, Myrmotherula axillaris, Myrmotherula brachyura, Myrmotherula ignota, Myrmotherula longipennis, Myrmotherula menetriesii, Myrmotherula multostriata, Nasica longirostris, Neochen jubata, Neoctantes niger, Notharchus tectus, Nothocrax urumutum, Nyctibius aethereus, Nyctibius bracteatus, Nyctipolus nigrescens, Nyctiprogne leucopyga, Nystactes tamatia, Ochthornis littoralis, Odontophorus gujanensis, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Ortalis guttata, Orthopsittaca manilatus, Pachyramphus castaneus, Pachyramphus marginatus, Pachyramphus minor, Pachysylvia hypoxantha, Paroaria gularis, Patagioenas plumbea, Patagioenas subvinacea, Penelope jacquacu, Phaethornis bourcieri, Phaethornis hispidus, Phaethornis malaris, Pharomachrus pavoninus, Pheugopedius coraya, Philydor erythrocercum, Philydor erythropterum, Philydor pyrrhodes, Phlegopsis erythroptera, Phlegopsis nigromaculata, Phoenicircus nigricollis, Piaya melanogaster, Piculus flavigula, Pionites melanocephalus, Pipile cumanensis, Pipra filicauda, Piprites chloris, Pithys albifrons, Hylocharis cyanus, Hypocnemis cantator, Iodopleura fusca, Isleria guttata, Islerothraupis luctuosa, Lanio fulvus, Microcerculus bambla, Monasa atra, Myiopagis cinerea, Myiornis ecaudatus, Myiothlypis mesoleucus, Myrmoborus leucophrys, Myrmornis torquata, Myrmotherula surinamensis, Ortalis motmot, Penelope marail, Perissocephalus tricolor, Phaethornis superciliosus, Picumnus exilis, Pionus fuscus, Platyrinchus coronatus, Platyrinchus platyrhynchos, Hylexetastes perrotii, Hylopezus macularius, Hylophilus griseiventris, Icterus cayanensis, Lamprospiza melanoleuca, Lepidocolaptes albolineatus, Lepidothrix serena, Lophostrix cristata, Microrhopias quixensis, Myrmoderus ferrugineus, Nemosia pileata, Neopipo cinnamomea, Notharchus macrorhynchos, Pachyramphus rufus, Pachyramphus surinamus, Phoenicircus carnifex, Hypocnemis peruviana, Hypocnemoides maculicauda, Lanio versicolor, Laterallus exilis, Lepidocolaptes fatimalimae, Leucopternis kuhli, Liosceles thoracicus, Malacoptila rufa, Metopothrix aurantiaca, Mitu tuberosum, Myrmelastes hyperythrus, Neopelma sulphureiventer, Nonnula ruficapilla, Odontophorus stellatus, Oneillornis salvini, Phaethornis philippii, Picumnus rufiventris, Pionites xanthomerius, Hylexetastes stresemanni, Malacoptila semicincta, Myrmotherula sclateri, Nonnula sclateri, Pheugopedius genibarbis, Picumnus aurifrons, Lepidocolaptes fuscicapillus, Micrastur mintoni, Pionites leucogaster, Pipile cujubi, Poecilotriccus latirostris, Psarocolius angustifrons, Psarocolius viridis, Psarocolius yuracares, Psophia crepitans, Pteroglossus azara, Pteroglossus castanotis, Pteroglossus pluricinctus, Pygiptila stellaris, Pyrilia barrabandi, Pyrrhura melanura, Querula purpurata, Ramphastos culminatus, Ramphastos cuvieri, Ramphotrigon ruficauda, Rhytipterna simplex, Rupicola rupicola, Saltator grossus, Schiffornis major, Schiffornis turdina, Sclateria naevia, Sclerurus caudacutus, Sclerurus mexicanus, Sclerurus rufigularis, Setophaga striata, Sporophila bouvronides, Sporophila castaneiventris, Sporophila murallae, Sublegatus obscurior, Rhynchocyclus aequinoctialis, Platyrinchus saturatus, Polioptila guianensis, Procnias albus, Pseudopipra pipra, Pteroglossus viridis, Pyrilia caica, Pyrrhura picta, Ramphastos tucanus, Ramphastos vitellinus, Rhynchocyclus olivaceus, Schiffornis olivacea, Selenidera piperivora, Sirystes subcanescens, Synallaxis gujanensis, Porphyrolaema porphyrolaema, Porzana fasciata, Psophia leucoptera, Pteroglossus beauharnaesii, Pteroglossus humboldti, Ramphocelus nigrogularis, Rhegmatorhina melanosticta, Saltator coerulescens, Sciaphylax hemimelaena, Selenidera langsdorffii, Synallaxis albigularis, Pteroglossus inscriptus, Selenidera gouldii, Synallaxis rutilans, Tangara callophrys, Tangara chilensis, Tangara mexicana, Tangara nigrocincta, Tangara schrankii, Tangara velia, Tangara xanthogastra, Terenotriccus erythrurus, Thamnomanes ardesiacus, Thamnomanes caesius, Thamnophilus aethiops, Thamnophilus amazonicus, Thamnophilus murinus, Thamnophilus schistaceus, Threnetes leucurus, Tinamus guttatus, Tityra cayana, Todirostrum chrysocrotaphum, Tolmomyias assimilis, Tolmomyias poliocephalus, Tolmomyias viridiceps, Topaza pyra, Touit purpuratus, Trogon collaris, Trogon melanurus, Trogon viridis, Tunchiornis ochraceiceps, Turdus hauxwelli, Turdus lawrencii, Tyranneutes stolzmanni, Tyrannopsis sulphurea, Tyrannulus elatus, Veniliornis affinis, Vireo altiloquus, Willisornis poecilinotus, Xenops tenuirostris, Xiphorhynchus beauperthuysii, Xiphorhynchus elegans, Xiphorhynchus guttatoides, Xiphorhynchus obsoletus, Zebrilus undulatus, Zimmerius gracilipes, Tangara punctata, Thamnophilus punctatus, Thripophaga gutturata, Todirostrum pictum, Topaza pella, Trogon rufus, Tyranneutes virescens, Tyrannus albogularis, Veniliornis cassini, Vireolanius leucotis, Xipholena punicea, Xiphorhynchus guttatus, Xiphorhynchus pardalotus, Todirostrum maculatum, Touit batavicus, Tunchiornis luteifrons, Zimmerius acer, Thamnomanes schistogynus, Trogon curucui, Turdus debilis, Xiphorhynchus ocellatus, Tinamus tao";441;0,59;0,59;0,59;16;156;20114,9
"173";"Arundinicola leucocephala, Arremon taciturnus, Calliphlox amethystina, Chrysolampis mosquitus, Coccyzus euleri, Elaenia cristata, Conirostrum speciosum, Crypturellus parvirostris, Diopsittaca cumanensis, Cypsnagra hirundinacea, Euphonia chlorotica, Galbula ruficauda, Eupsittula aurea, Myiozetetes cayanensis, Myiarchus tyrannulus, Rufirallus viridis, Tolmomyias flaviventris, Turdus leucomelas, Thlypopsis sordida, Tityra braziliensis, Xenops rutilus, Xolmis velatus";22;NA;0,59;0,59;9;7;126,5
"174";"Napo, NT0142, Cacicus sclateri, Galbalcyrhynchus leucotis, Grallaria dignissima, Herpsilochmus dugandi, Mitu salvini, Hylopezus fulviventris, Selenidera reinwardtii, Poecilotriccus calopterus, Sciaphylax castanea";11;NA;0,59;0,59;5;5;33
"175";"Belem, NT0170, Crax pinima, Ortalis superciliaris, Psophia obscura";5;NA;0,59;0,49;2;4;3
"176";"Catharus swainsoni, Myiodynastes luteiventris, Piranga olivacea, Vireo flavoviridis";4;NA;0,59;0,47;3;3;2
"177";"Coccycua cinerea, Sporophila caerulescens";2;NA;0,59;0,59;1;1;0
"178";"Colaptes punctigula, Euphonia laniirostris";2;NA;0,59;0,59;1;1;0
"179";"Furnarius minor, Knipolegus sclateri";2;NA;0,59;0,57;1;1;0
"180";"Heterocercus aurantiivertex, Tolmomyias traylori";2;NA;0,59;0,59;1;1;0
"181";"Pipile grayi, Primolius auricollis";2;NA;0,59;0,55;1;1;0
